,city id,city,country,lat,lng,temperature,humidity,clouds,wind speed
346,2980080,Saint-François,FR,46.4154,3.9054,45.54,87,90,11.5
347,5392171,San Jose,US,37.3394,-121.895,58.64,51,1,11.5
348,2071860,Esperance,AU,-33.8667,121.9,60.8,88,90,10.36
349,3393536,Olinda,BR,-8.0089,-34.8553,77.0,73,75,4.61
350,303830,Nevşehir,TR,38.9167,34.6667,33.8,69,0,3.44
351,2132606,Samarai,PG,-10.6167,150.6667,81.09,80,95,9.53
352,1859964,Kaseda-shirakame,JP,31.4167,130.3167,51.01,76,100,15.01
353,1803886,Lianran,CN,24.9227,102.485,50.0,57,0,4.47
354,3517970,Pochutla,MX,15.7432,-96.4661,88.05,45,1,11.5
355,1509847,Bograd,RU,54.2344,90.8328,-2.2,60,0,13.42
356,2156643,Mount Gambier,AU,-37.8333,140.7667,44.6,93,100,1.14
357,6454423,Seclin,FR,50.55,3.0333,43.88,65,0,5.75
358,2121025,Srednekolymsk,RU,67.45,153.6833,-23.55,87,100,2.37
359,2126199,Cherskiy,RU,68.75,161.3,-30.1,98,59,3.8
360,2012956,Yerbogachën,RU,61.2767,108.0108,-21.37,98,0,5.1
361,3939761,Hualmay,PE,-11.0964,-77.6139,78.17,55,6,9.28
362,489701,Spiridonovka,RU,53.0925,50.6462,8.6,85,90,13.42
363,2167426,Emerald,AU,-23.5333,148.1667,76.57,78,75,8.05
364,7671223,Kloulklubed,PW,7.0419,134.2556,75.2,94,75,4.61
